,face_ratio,jaw_ratio,jaw_to_height,eye_ratio,eye_height,lip_ratio,nose_position,lower_face_ratio,chin_prominence,symmetry
mean,1.1787324724599217,0.8080413831370762,0.6880691536184539,0.627706850622271,0.31816108591040726,0.3930974164915349,0.5600081689884905,0.32112594578517384,0.2196737763583666,0.11757062493026274
std,0.07373121254512303,0.024009227709954777,0.04555649538153799,0.029634633870308617,0.07974188721347943,0.055127751189784815,0.03922012583085847,0.03286424658933689,0.033835067900519704,0.1092258328040573
p5,1.0490191983507657,0.7661170931594925,0.6182656687054787,0.5807178763390801,0.17152461513565231,0.3089326448873051,0.49511247780811984,0.26748314165393045,0.16419913994916285,0.0058672898476187195
p25,1.1348928878334748,0.7927929141981821,0.6564352434514708,0.6067049284502218,0.2724871217081786,0.3545702159364108,0.5344657671984901,0.29883928257765147,0.19615983191848282,0.031945625762059275
p75,1.2257925347806715,0.8246520022287319,0.7166118966878743,0.6474972999022724,0.3684871064282085,0.43008733790598597,0.5852453748993133,0.3427422562996669,0.24287789022731365,0.1733023314369608
p95,1.2960998170898888,0.8460424619818316,0.7694409556451699,0.6782092152153262,0.4446486458999438,0.4897470405944004,0.6266595712459051,0.3753300197518334,0.27666942881636336,0.35550094263235094
