,face_ratio,jaw_ratio,jaw_to_height,eye_ratio,eye_height,lip_ratio,nose_position,lower_face_ratio,chin_prominence,symmetry
mean,1.178080944798124,0.79366543470161,0.6765565023785021,0.6451479755350152,0.35202125650679045,0.4060223873923758,0.5789709896852214,0.31647782896046367,0.2271333131475656,0.14188179898463651
std,0.07738947713809528,0.024665466465693054,0.04840376766646066,0.028815743598259804,0.07810659112508991,0.061711497129932534,0.042428303947818054,0.03450291712268888,0.03155200004830161,0.12570537329873177
p5,1.0393139925798902,0.752026886995626,0.600621603899326,0.5974945836001866,0.21922397159693935,0.3065703488947429,0.5091154679395746,0.2575964951834648,0.17325484582728637,0.007216182567111106
p25,1.132992700356257,0.7769871362316549,0.6447405354975764,0.6256420144831096,0.3055442211778069,0.36144302711068577,0.5504228252686881,0.2930618008817839,0.2063880409662159,0.040716628252326165
p75,1.226343186319845,0.8105994325746275,0.7055393886410457,0.6643072311701063,0.4008053999728015,0.45367637641889963,0.6070122569090213,0.34030652760566255,0.24876224518018555,0.21787226856388314
p95,1.303915586706899,0.8328991457860085,0.763026125433713,0.6935727188569267,0.47875468577272257,0.503175488843551,0.6499294950906276,0.3706449440335783,0.2790378167040759,0.40123509522982
