,face_ratio,jaw_ratio,jaw_to_height,eye_ratio,eye_height,lip_ratio,nose_position,lower_face_ratio,chin_prominence,symmetry,upper_third,middle_third,lower_third,mid_lower_ratio,thirds_balance
mean,1.1918215011688746,0.792313548947242,0.6754584053934198,0.6429654257576495,0.35390570159301116,0.40844207283120226,0.5754831794935513,0.31544451795403056,0.22279791804559199,0.13648097260550585,0.25656772141302525,0.35516641553658124,0.38826837435124717,0.9254899635423163,0.5047714716223004
std,0.1465511321263484,0.024904650060707828,0.09015538415171206,0.029287187021075283,0.07474617303617027,0.0631847412253128,0.06419126068811998,0.04999326208183262,0.04194770554402665,0.12363535848060521,0.08853689792106074,0.04530330652253603,0.05612877321097693,0.1267694582774038,0.4258701373909979
p5,0.9500480681871168,0.749735417217006,0.5492437765471164,0.5958321090679293,0.23295198728795388,0.30361050665630385,0.45924136605956073,0.23808151005263054,0.15738300288127766,0.006222034200080188,0.088,0.293,0.304,0.7391304347826086,0.0
p25,1.0848035583639541,0.775162139572555,0.607767791676249,0.6229594585995718,0.3083668563347357,0.36363325906950694,0.5316370634469727,0.28034983190157337,0.19381870638878468,0.03802038534545513,0.194,0.322,0.348,0.8333333333333334,0.0
p75,1.2996562120241992,0.8097915074677416,0.7349503252589399,0.6626548423875391,0.39968038348871576,0.4573881591424226,0.6228495472396884,0.3483646497056301,0.2498152936578286,0.20572016532942874,0.325,0.385,0.426,1.0,1.0
p95,1.4232473667644767,0.8317562909157419,0.8406944271417456,0.692579984616127,0.4788180685078638,0.5064332563850812,0.6722760340696072,0.40499034719249394,0.29754850223909857,0.39398668597136954,0.376,0.4403999999999996,0.49,1.1584146341463415,1.0
