,face_ratio,jaw_ratio,jaw_to_height,eye_ratio,eye_height,lip_ratio,nose_position,lower_face_ratio,chin_prominence,symmetry,upper_third,middle_third,lower_third,mid_lower_ratio,thirds_balance
mean,1.2998522356217899,0.8083116861281704,0.6280689717972849,0.6255551064852034,0.3175768014918126,0.3951713421551606,0.5959205125626278,0.2935409556970508,0.19777130922937217,0.1122990633998965,0.31683050463905865,0.3131378139850645,0.37002783435166325,0.8522888184515499,0.33157954288300523
std,0.12942647324795406,0.023410004654089423,0.06566090542383062,0.029135756951074683,0.07529609874997992,0.05423019555268407,0.04581504326561253,0.03658844634353177,0.03557594745346603,0.10572575425331131,0.05973196524331504,0.033171764762097836,0.03886918190979466,0.1023439951528403,0.34281716833695675
p5,1.0738075057776935,0.767111481028149,0.535006950227371,0.5797522082915504,0.18146448319490194,0.3127547501017212,0.5127998651175812,0.2376752678355687,0.14370061581926985,0.005606255704737797,0.199,0.266,0.311,0.7018072289156626,0.0
p25,1.2151974018023939,0.7935576238296161,0.5824160301149011,0.6050471442243658,0.27472112789737807,0.3573811764530951,0.5677566378963745,0.26858953624859266,0.1731889913113349,0.03054704454779446,0.286,0.29,0.343,0.7795698924731183,0.0
p75,1.3863592489326741,0.8244004537012763,0.6660335104797642,0.6452120866495779,0.36445017611055025,0.4318557473109312,0.6280130003933707,0.31608160444989114,0.21935584761095833,0.16304264621131834,0.356,0.332,0.393,0.9131200244947948,0.5
p95,1.5049104259150001,0.8453534026156463,0.7526510938751074,0.6758063282480082,0.4385290096535146,0.49117507447973824,0.6647668169971714,0.35793540152375686,0.2604642156511074,0.3440315383808751,0.401,0.378,0.441,1.0402887939800691,1.0
